target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.6049075178310679,0.7929700498713503,
raw,P1_ovt_text_stream,0.21403266099400797,0.7106677141924513,0.6961212469518594,10000.0
raw,P1_ovt_slot0,0.21403266099400797,0.7106677141924513,0.6961212469518594,10000.0
raw,P2_llm_image_stream,0.3589227797225444,0.77805093830467,0.6172813915351756,1000.0
raw,P3_word_only,0.19549497916110592,0.7036822385645168,0.7031141502341477,0.1
raw,P4_raw_siglip,0.5624615697339028,0.8604181202171254,0.49145355752950454,100.0
instance_residual,P0_mean_floor,0.0,-0.00842058212742373,1.0000000000073046,
instance_residual,P1_ovt_text_stream,0.0711271705115405,0.2895736457399568,0.9586839945277635,10000.0
instance_residual,P1_ovt_slot0,0.0711271705115405,0.2895736457399568,0.9586839945277635,10000.0
instance_residual,P2_llm_image_stream,0.18254297224559246,0.4673684611078528,0.888866784243013,1000.0
instance_residual,P4_raw_siglip,0.399374280752101,0.6639637524814148,0.7420334776690197,100.0
