target,probe,r2,cosine,rel_l2,lambda
raw,P0_mean_floor,0.0,0.6227451143504178,0.7766850429196733,
raw,P1_ovt_text_stream,0.410352407680474,0.8047879303475587,0.5815469103164501,10000.0
raw,P1_ovt_slot0,0.40288250913597434,0.8019548096027812,0.5855157656877121,10000.0
raw,P1_ovt_slot1,0.4042374537038421,0.8027109280589568,0.5842555099416408,10000.0
raw,P2_llm_image_stream,0.46599048569103385,0.8241139022150257,0.5554866724309365,1000.0
raw,P3_word_only,0.24633632374743608,0.735219798824238,0.6706607159806911,0.1
raw,P4_raw_siglip,0.6811229898210489,0.9108450922769893,0.3894783560485153,100.0
instance_residual,P0_mean_floor,0.0,0.001192540235420977,0.9999999999989897,
instance_residual,P1_ovt_text_stream,0.18402445298976422,0.45793539626235885,0.8871212927310128,10000.0
instance_residual,P1_ovt_slot0,0.17905178460796478,0.4518002221859605,0.890301868949883,10000.0
instance_residual,P1_ovt_slot1,0.18056463775002285,0.4541284227086818,0.8888465594885196,10000.0
instance_residual,P2_llm_image_stream,0.23251251612374002,0.5001729388997794,0.8654653185379158,1000.0
instance_residual,P4_raw_siglip,0.48306176087882524,0.7351261792768351,0.6683786084005638,100.0
