bg_miss_frac,fARI,foreground_pixels,image_id,mBO,mIoU,map_ambiguous_patch_frac,map_kind,map_pair_overlap_mean,map_top1_top2_margin_mean,merge_frac,n_gt,n_objects_caption,n_pred_on_fg,object_dominant_frac_mean,sample_index,split_frac,valid_object_count
0.015587107877650004,0.0,51132,285,0.9391559362411499,0.86231529712677,0.0,"sigmoid_dot",nan,inf,0.0,1,1,1,0.98441289212235,0,0.015587107877650004,1
0.008561643835616438,0.9687647819519043,4088,4765,0.551718533039093,0.6846912503242493,0.0,"sigmoid_dot",0.001875478308647871,0.8517671227455139,0.003947693066864051,2,2,2,0.9826973357761747,1,0.012475538160469667,2
0.21608817863120994,0.24859243631362915,31663,7386,0.1755811870098114,0.24754305183887482,0.05093833804130554,"sigmoid_dot",0.029620658606290817,0.8094862699508667,0.028806252769831998,5,7,3,0.8227309500774828,2,0.20958216214509048,7
0.2731994537354199,0.17605708539485931,44667,8277,0.3187083899974823,0.3375663161277771,0.2598726153373718,"sigmoid_dot",0.19803236424922943,0.27072617411613464,0.1874075899457861,3,8,5,0.605781183430599,3,0.436608682024761,8
0.5408853818376355,0.25824618339538574,37385,9400,0.15133389830589294,0.11812254786491394,0.20068027079105377,"sigmoid_dot",0.04533040523529053,0.4753107726573944,0.376252621766488,18,15,9,0.7647478899096254,4,0.19366055904774643,15
0.36982325702732666,0.3073211908340454,30666,10707,0.13649672269821167,0.1366351991891861,0.06818182021379471,"sigmoid_dot",0.015727149322628975,0.820330023765564,0.2863648124191462,14,19,9,0.7826812751705117,5,0.3483010500228266,19
0.3672156862745098,0.4274502694606781,19125,11760,0.3812151849269867,0.4428994357585907,0.1689453125,"sigmoid_dot",0.06389235705137253,0.7213237285614014,0.10378449843001157,3,6,3,0.6054663665934769,6,0.3754248366013072,6
0.34908180300500835,0.07007629424333572,11980,13201,0.2869516909122467,0.4795565903186798,0.011083743534982204,"sigmoid_dot",0.027391791343688965,0.9095962643623352,0.0,2,5,1,0.838249327665481,7,0.3112687813021703,5
0.0,0.0,64961,14831,0.49629467725753784,0.26494476199150085,0.0,"sigmoid_dot",nan,inf,0.35692184541494126,2,1,1,1.0,8,0.0,1
0.1980084490042245,0.0,16570,15746,0.7144239544868469,0.8063765168190002,0.01552795059978962,"sigmoid_dot",0.01501534041017294,0.9222435355186462,0.0,1,6,1,0.8019915509957755,9,0.1980084490042245,6
0.010937222123421662,0.9773744940757751,11246,17029,0.5040304660797119,0.5845490097999573,0.034347400069236755,"sigmoid_dot",0.027868423610925674,0.8291276693344116,0.009349995504809853,4,9,3,0.9942337629934708,10,0.01022585808287391,9
0.9122504313532167,0.0,32456,17714,0.576513409614563,0.5025705099105835,0.0,"sigmoid_dot",0.0001059233327396214,0.964754045009613,0.0,1,5,3,0.9122504313532167,11,0.08774956864678334,5
0.45211720400477634,0.5678713321685791,54435,19402,0.7071906924247742,0.6053223013877869,0.0,"sigmoid_dot",0.005440608598291874,0.8781892657279968,0.15303111587982832,2,2,1,0.8764799747743762,12,0.12321116928446771,2
0.5456725755995829,0.2886817753314972,9590,20553,0.09545519948005676,0.12980596721172333,0.005376344081014395,"sigmoid_dot",0.016759833320975304,0.9309893250465393,0.37732384668349783,11,5,3,0.8422159035185021,13,0.18289885297184566,5
0.0077458902201170245,0.8980394005775452,17945,22479,0.491014301776886,0.5600615739822388,0.02348066307604313,"sigmoid_dot",0.015472102910280228,0.8734182119369507,0.02431764573739189,4,7,3,0.9863444655844774,14,0.026469768737809974,7
0.26746372270163427,0.6183986067771912,20743,23126,0.3483520746231079,0.4472026228904724,0.0040241447277367115,"sigmoid_dot",0.006005881354212761,0.9121963381767273,0.008292201382033564,3,4,2,0.7937739839142397,15,0.24755339150556815,4
