area_frac,category,image_id,is_thing,map_inside_mean,map_neutral_mass_frac,map_neutral_mean,map_other_region_mass_frac,map_other_region_mean,map_outside_mass_frac,map_outside_mean,map_self_mass_frac,object_index,own_gt_patch_win_frac,sample_index,size_bucket
0.7371673583984375,"bear",285,True,0.9736872315406799,0.0479813776910305,0.1376364678144455,0.0,0.0,0.0479813776910305,0.1376364678144455,0.952018678188324,0,1.0,0,"large"
0.044269561767578125,"person",4765,True,0.9074785113334656,0.11364307254552841,0.005507464986294508,0.0021920695435255766,0.0054817842319607735,0.11583513021469116,0.005506976041942835,0.8841648697853088,0,1.0,1,"medium"
0.018169403076171875,"surfboard",4765,True,0.7691625356674194,0.14368896186351776,0.0025012437254190445,9.631665307097137e-06,3.5508169275999535e-06,0.143698588013649,0.0023886256385594606,0.8563014268875122,1,0.8757085800170898,1,"small"
0.374542236328125,"motorcycle",7386,True,0.8483766913414001,0.011439511552453041,0.013815287500619888,0.046170830726623535,0.04471150413155556,0.05609992519021034,0.030194498598575592,0.9438999891281128,0,0.9516825675964355,2,"large"
0.142059326171875,"tree-merged",7386,False,0.8358066082000732,0.0987100824713707,0.04943782836198807,0.05277543142437935,0.012713517062366009,0.14951512217521667,0.02432970330119133,0.8504848480224609,1,0.8723952770233154,2,"large"
0.12310791015625,"grass-merged",7386,False,0.8525215983390808,0.011482995934784412,0.005717000924050808,0.24264313280582428,0.05606824532151222,0.24374684691429138,0.03857598081231117,0.756253182888031,2,0.7354982495307922,2,"large"
0.0501708984375,"gravel",7386,False,0.8269016146659851,0.056864116340875626,0.020783716812729836,0.5568960309028625,0.08424751460552216,0.5927980542182922,0.06358538568019867,0.4072018563747406,3,0.760948896408081,2,"medium"
0.02001953125,"truck",7386,True,0.7446444630622864,0.30278098583221436,0.02985985018312931,0.15504351258277893,0.006073781289160252,0.45770859718322754,0.012839311733841896,0.5422914624214172,4,0.7804877758026123,2,"small"
0.009033203125,"sky-other-merged",7386,False,0.8754823207855225,0.07043127715587616,0.002602302934974432,0.16170582175254822,0.00233758008107543,0.2321334034204483,0.00241258111782372,0.7678665518760681,5,0.8648648858070374,2,"tiny"
0.005767822265625,"dog",7386,True,0.8461660742759705,6.128792301751673e-05,1.0732001101132482e-06,5.850513116456568e-05,3.9907538962324907e-07,0.00011379517673049122,5.586668407886464e-07,0.9998862743377686,6,0.8465608358383179,2,"tiny"
0.508453369140625,"bowl",8277,True,0.3292221128940582,0.05745398998260498,0.09003888070583344,0.4941314458847046,0.7211427688598633,0.5505564212799072,0.41715946793556213,0.449443519115448,0,0.965053141117096,3,"large"
0.17689132690429688,"bowl",8277,True,0.8756464719772339,0.06448755413293839,0.05008472874760628,0.1028161495923996,0.03232207149267197,0.16082824766635895,0.03606531023979187,0.8391717076301575,1,0.5600698590278625,3,"large"
0.029693603515625,"fork",8277,True,0.7389191389083862,0.004721102770417929,0.0004959050565958023,0.1210661455988884,0.004118102136999369,0.12107943743467331,0.0031150977592915297,0.8789206147193909,2,0.8919578790664673,3,"small"
0.012165069580078125,"broccoli",8277,True,0.7953521013259888,0.2980075180530548,0.057088594883680344,0.4990554451942444,0.030269473791122437,0.7874815464019775,0.036293867975473404,0.21251852810382843,3,0.0,3,"small"
0.010776519775390625,"broccoli",8277,True,0.005908525083214045,0.36103224754333496,0.05261407792568207,0.6371378302574158,0.029360175132751465,0.9981616139411926,0.03494761139154434,0.0018384276190772653,4,0.0,3,"small"
0.0125732421875,"broccoli",8277,True,0.30147039890289307,0.44271737337112427,0.04381822422146797,0.3961452543735504,0.012427275069057941,0.8388580083847046,0.019983284175395966,0.16114196181297302,5,0.0,3,"small"
0.00653076171875,"broccoli",8277,True,0.00435693608596921,0.16712374985218048,0.002546774921938777,0.8250507116317749,0.0039518484845757484,0.9921433329582214,0.003616824746131897,0.007856653071939945,6,0.0,3,"tiny"
0.0078125,"broccoli",8277,True,0.00036958890268579125,0.260280579328537,0.00848181638866663,0.7393465638160706,0.0075888317078351974,0.9996271729469299,0.007802729029208422,0.00037282644188962877,7,0.0,3,"tiny"
0.12060546875,"wall-other-merged",9400,False,0.938072144985199,0.17323274910449982,0.04104167968034744,0.16100943088531494,0.16878357529640198,0.33424219489097595,0.06458988785743713,0.6657577753067017,0,0.9514170289039612,4,"large"
0.04150390625,"wall-wood",9400,False,0.6054418087005615,0.13411562144756317,0.007810758426785469,0.2742326855659485,0.04720613360404968,0.3984721302986145,0.01736653782427311,0.6015278697013855,1,0.43529412150382996,4,"medium"
0.03515625,"person",9400,True,5.052567303209798e-06,0.9997414946556091,0.1475619226694107,0.0002570335927885026,0.00010949152056127787,0.9999983906745911,0.10972882807254791,1.6777846667537233e-06,2,0.0,4,"medium"
