wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/100 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                
{'loss': 46412.0, 'learning_rate': 9.397368756032445e-06, 'loss_full': 46216.0, 'loss_slot_feat': 0.00266265869140625, 'loss_slot_attn': 0.1279296875, 'loss_stop': -0.91796875, 'loss_div': 0.0, 'loss_inpaint': 58689.5, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 5740.0, 'learning_rate': 9.31628240478787e-06, 'loss_full': 5856.0, 'loss_slot_feat': 0.0025634765625, 'loss_slot_attn': 0.03533935546875, 'loss_stop': -0.919921875, 'loss_div': 0.0, 'loss_inpaint': 62976.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 6846.0, 'learning_rate': 9.230476262104678e-06, 'loss_full': 7452.0, 'loss_slot_feat': 0.00258636474609375, 'loss_slot_attn': 1.1796875, 'loss_stop': -0.85546875, 'loss_div': 0.0, 'loss_inpaint': 74752.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 44992.0, 'learning_rate': 9.140044155740102e-06, 'loss_full': 45952.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.930419921875, 'loss_stop': -0.869140625, 'loss_div': 0.0, 'loss_inpaint': 116952.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 48760.0, 'learning_rate': 9.045084971874738e-06, 'loss_full': 48096.0, 'loss_slot_feat': 0.002593994140625, 'loss_slot_attn': 0.2412109375, 'loss_stop': -0.85546875, 'loss_div': 0.0, 'loss_inpaint': 60976.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 28840.0, 'learning_rate': 8.94570254698197e-06, 'loss_full': 29161.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.4794921875, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 4592.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 24792.0, 'learning_rate': 8.842005554284296e-06, 'loss_full': 27968.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.20166015625, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 49483.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 9480.5, 'learning_rate': 8.734107384920771e-06, 'loss_full': 9834.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.195068359375, 'loss_stop': -0.89453125, 'loss_div': 0.0, 'loss_inpaint': 143104.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 40498.5, 'learning_rate': 8.622126023955446e-06, 'loss_full': 39851.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.177490234375, 'loss_stop': -0.892578125, 'loss_div': 0.0, 'loss_inpaint': 18672.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 11884.0, 'learning_rate': 8.506183921362443e-06, 'loss_full': 12378.0, 'loss_slot_feat': 0.0025482177734375, 'loss_slot_attn': 0.07763671875, 'loss_stop': -0.89453125, 'loss_div': 0.0, 'loss_inpaint': 20716.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 153856.0, 'learning_rate': 8.386407858128707e-06, 'loss_full': 152320.0, 'loss_slot_feat': 0.00266265869140625, 'loss_slot_attn': 0.4200439453125, 'loss_stop': -0.884765625, 'loss_div': 0.0, 'loss_inpaint': 146688.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 6680.0, 'learning_rate': 8.262928807620843e-06, 'loss_full': 6672.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.1258544921875, 'loss_stop': -0.90234375, 'loss_div': 0.0, 'loss_inpaint': 34448.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 13552.0, 'learning_rate': 8.135881792367686e-06, 'loss_full': 14400.0, 'loss_slot_feat': 0.00266265869140625, 'loss_slot_attn': 0.755859375, 'loss_stop': -0.861328125, 'loss_div': 0.0, 'loss_inpaint': 52000.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 100224.0, 'learning_rate': 8.005405736415127e-06, 'loss_full': 99584.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 0.138671875, 'loss_stop': -0.90234375, 'loss_div': 0.0, 'loss_inpaint': 15676.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 15804.0, 'learning_rate': 7.871643313414718e-06, 'loss_full': 15420.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 1.16015625, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 33248.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
