guidance,n,fARI,mBO,mIoU,rFID,PSNR,SSIM,Active
1.0,500,0.3668325250289829,0.3778124336177796,0.46772074460983276,76.68983459472656,12.756106534957885,0.2917922408618033,5.91
1.5,500,0.3668325250289829,0.3778124336177796,0.46772074460983276,77.48920440673828,12.763909173965454,0.2929204753637314,5.91
2.0,500,0.3668325250289829,0.3778124336177796,0.46772074460983276,75.72847747802734,12.75496837234497,0.2928830959945917,5.91
3.0,500,0.3668325250289829,0.3778124336177796,0.46772074460983276,77.20561981201172,12.77557891368866,0.2936952230781317,5.91
4.0,500,0.3668325250289829,0.3778124336177796,0.46772074460983276,75.54156494140625,12.770539459228516,0.2916953589916229,5.91
5.0,500,0.3668325250289829,0.3778124336177796,0.46772074460983276,76.00154876708984,12.794218046188355,0.29256261384487153,5.91
