bg_miss_frac,fARI,foreground_pixels,image_id,mBO,mIoU,map_ambiguous_patch_frac,map_kind,map_pair_overlap_mean,map_top1_top2_margin_mean,merge_frac,n_gt,n_objects_caption,n_pred_on_fg,object_dominant_frac_mean,sample_index,split_frac,valid_object_count
0.5276286225675006,0.09240993857383728,26259,139,0.09556178748607635,0.13219675421714783,0.5,"llm_attention",0.31972506642341614,0.013658437877893448,0.3609319574330861,16,14,13,0.7019817161232929,0,0.42598728055143,14
0.8523923877903365,-3.8936866531003034e-07,204461,285,0.6648292541503906,0.3324146270751953,0.0,"llm_attention",nan,inf,0.0,1,1,1,0.8523923877903365,1,0.14760761220966345,1
0.6756052190316495,0.32602939009666443,76336,632,0.07047703862190247,0.09993164986371994,0.29738563299179077,"llm_attention",0.42111241817474365,0.00632851105183363,0.18749747607317369,17,14,14,0.7307194043924359,2,0.3109673024523161,14
0.8699487498058704,0.13092803955078125,32195,724,0.0873505249619484,0.23883850872516632,0.2720588147640228,"llm_attention",0.35918673872947693,0.0007386890356428921,0.13732983042751373,4,3,3,0.8567142725874148,3,0.12250349433141793,3
0.7682281605712961,0.004018191713839769,245897,776,0.21264836192131042,0.12326107174158096,0.18518517911434174,"llm_attention",0.3165954053401947,0.002109199995175004,0.39866998877035376,4,4,4,0.8223729525700562,4,0.23177183942870389,4
0.7092137675427693,-0.02534019947052002,44249,785,0.133857861161232,0.3751601278781891,0.07407407462596893,"llm_attention",0.06835144758224487,0.009802514687180519,0.06722623766223673,2,2,2,0.7499593375253343,5,0.2907862324572307,2
0.7834009707965306,0.13300329446792603,113103,802,0.2822188436985016,0.35019657015800476,0.13537117838859558,"llm_attention",0.25324732065200806,0.0032527660951018333,0.12494897542656544,2,2,2,0.7507691273337758,6,0.2165990292034694,2
0.6483007518796993,0.020081359893083572,49875,872,0.16134001314640045,0.3362078368663788,0.21621622145175934,"llm_attention",0.32718798518180847,0.006528711412101984,0.29878570206943733,3,3,3,0.6462148572907749,7,0.3488922305764411,3
0.5923555362696175,0.1668710708618164,27654,885,0.17730717360973358,0.28202077746391296,0.2520325183868408,"llm_attention",0.352434903383255,0.014562849886715412,0.1562139625654218,6,7,7,0.8255171565184533,8,0.3156505388008968,7
0.6827529309596179,0.019352540373802185,115150,1000,0.09638594090938568,0.11792247742414474,0.3417431116104126,"llm_attention",0.3322019577026367,0.004590432159602642,0.5982316388820453,16,12,12,0.7027620111373281,9,0.3127399044724273,12
0.5037630730133906,0.1674681454896927,20462,1268,0.19508107006549835,0.2713925242424011,0.24242424964904785,"llm_attention",0.3267013132572174,0.039797235280275345,0.17746700807563523,7,8,8,0.6726086069540812,10,0.39429185807838923,8
0.7897775397054313,0.012366055510938168,218421,1296,0.31951698660850525,0.24103108048439026,0.2547914385795593,"llm_attention",0.18756043910980225,0.0013977678027004004,0.042533266546159375,3,6,6,0.7674456157851827,11,0.21022246029456876,6
0.559774757904874,0.2676246464252472,74764,1353,0.18324895203113556,0.24416685104370117,0.3393939435482025,"llm_attention",0.22776541113853455,0.005876846145838499,0.4833348524898976,7,7,7,0.5513786580286318,12,0.38202878390669304,7
0.8143114347985001,0.024534182623028755,73871,1425,0.1546919047832489,0.30837157368659973,0.0,"llm_attention",nan,inf,0.19924181672377342,2,1,1,0.800269136006875,13,0.1856885652014999,1
0.7437837837837837,0.47796282172203064,2775,1490,0.11666177958250046,0.4005313813686371,0.06666667014360428,"llm_attention",0.057118453085422516,0.060307577252388,0.0,2,2,1,0.8132158590308369,14,0.1527927927927928,2
0.6257108631233844,0.23041073977947235,79305,1503,0.2942112982273102,0.38835039734840393,0.2844036817550659,"llm_attention",0.2608530521392822,0.0042785769328475,0.17437590540039755,4,6,6,0.6065189339622652,15,0.3173822583695858,6
0.35339691774116855,0.2641476094722748,35753,1532,0.2695567011833191,0.3271563947200775,0.3287671208381653,"llm_attention",0.42009949684143066,0.015741394832730293,0.23708798338956658,8,9,9,0.6642232955543873,16,0.4897491119626325,9
0.7639639976796841,0.17819280922412872,106882,1584,0.08387603610754013,0.09252271801233292,0.13317756354808807,"llm_attention",0.3387797176837921,0.00556120416149497,0.149318217853179,8,7,7,0.8062405412874414,17,0.21715536760165416,7
0.7947885438020642,0.08207326382398605,168782,1675,0.3119668960571289,0.2538587749004364,0.05225653201341629,"llm_attention",0.07936230301856995,0.002186646917834878,0.05852292412518766,2,2,2,0.7765328837320915,18,0.2052114561979358,2
0.3848964677222899,0.0,821,1761,0.20997920632362366,0.6013586521148682,0.0,"llm_attention",nan,inf,0.0,1,1,1,0.6151035322777101,19,0.3848964677222899,1
0.8543423445767195,0.1433774083852768,193536,1818,0.3699228763580322,0.25363579392433167,0.10687022656202316,"llm_attention",0.11111905425786972,0.0022595180198550224,0.1153600567577155,2,2,2,0.8243817072690165,20,0.14565765542328044,2
0.7326813729868119,0.13109511137008667,67182,1993,0.26149559020996094,0.3933809697628021,0.17408907413482666,"llm_attention",0.2530170679092407,0.00665745185688138,0.09454869424800935,3,3,3,0.6900062480096553,21,0.25898306093894197,3
0.9056803453155285,-0.0006344278226606548,168194,2006,0.14692403376102448,0.12306473404169083,0.32461538910865784,"llm_attention",0.9074469804763794,0.0002814280451275408,0.0,2,2,2,0.9528239044582957,22,0.09431965468447151,2
0.7113674361099793,-0.0013774894177913666,142354,2149,0.2474488914012909,0.322325199842453,0.2729658782482147,"llm_attention",0.3593103587627411,0.003457659389823675,7.301401869158878e-05,2,9,9,0.8444461632333857,23,0.2886325638900207,9
0.4656839319192736,0.13092076778411865,27203,2153,0.16600191593170166,0.29132404923439026,0.30841121077537537,"llm_attention",0.28868430852890015,0.012195813469588757,0.3907120743034056,5,5,5,0.5529544328744279,24,0.517369407785906,5
0.8593728702447636,-0.027275824919342995,154067,2157,0.14833630621433258,0.24664241075515747,0.32210999727249146,"llm_attention",0.3681974411010742,0.0013092176523059607,0.007800240007384843,5,14,14,0.9523109161041241,25,0.14062712975523636,14
