area_frac,bg_map_on_self_mean,category,image_id,is_thing,map_inside_mean,map_neutral_mass_frac,map_neutral_mean,map_other_region_mass_frac,map_other_region_mean,map_outside_mass_frac,map_outside_mean,map_self_mass_frac,object_index,own_gt_patch_win_frac,sample_index,size_bucket
0.788330078125,4.0650397750141565e-06,"bear",285,True,0.0012368555180728436,0.0015484599862247705,7.143990842450876e-06,0.0,0.0,0.0015484599862247705,7.143990842450876e-06,0.9984515905380249,0,1.0,0,"large"
0.044189453125,2.0074671738257166e-06,"person",4765,True,0.0219279732555151,0.005398810841143131,5.6237613534904085e-06,0.0023604228626936674,0.000125889215269126,0.007759233936667442,7.9276978794951e-06,0.9922407865524292,0,0.9779005646705627,1,"medium"
0.018310546875,4.810996870219242e-06,"surfboard",4765,True,0.051037080585956573,0.00975771527737379,1.016428905131761e-05,0.03329715132713318,0.0007358487928286195,0.043054867535829544,4.283002272131853e-05,0.95694500207901,1,1.0,1,"small"
0.444091796875,3.638821726781316e-05,"motorcycle",7386,True,0.002145470352843404,0.014859000220894814,2.770909122773446e-05,0.010094007477164268,0.0002925799344666302,0.02434740960597992,4.2771032894961536e-05,0.9756526350975037,0,0.9400769472122192,2,"large"
0.02783203125,1.3992338608659338e-05,"truck",7386,True,0.029108067974448204,0.03810262307524681,7.10538515704684e-05,0.13232819736003876,0.0002878264640457928,0.17042012512683868,0.00017119049152825028,0.8295798301696777,1,0.8771929740905762,2,"small"
0.005859375,4.1495318328088615e-06,"dog",7386,True,0.14950363337993622,0.04008485749363899,7.475031452486292e-05,0.06289883702993393,0.0001302927703363821,0.10297814011573792,0.00010115731129189953,0.8970218300819397,2,0.8333333134651184,2,"tiny"
0.508544921875,2.428974403301254e-05,"bowl",8277,True,0.001237899879924953,0.08046352118253708,0.000325433851685375,0.27525508403778076,0.0010679150000214577,0.35536372661590576,0.0007061375654302537,0.644636332988739,0,0.9860777854919434,3,"large"
0.17724609375,1.9481494746287353e-06,"bowl",8277,True,0.004744293168187141,0.02885029837489128,0.00011668472870951518,0.11158959567546844,0.00018629315309226513,0.13891085982322693,0.00016487935499753803,0.8610892295837402,1,0.6460055112838745,3,"large"
0.028076171875,3.481320845821756e-06,"fork",8277,True,0.030697854235768318,0.02402137778699398,9.71542249317281e-05,0.09422570466995239,0.00012563429481815547,0.11743668466806412,0.00011799718777183443,0.8825631737709045,2,0.8608695864677429,3,"small"
0.010986328125,1.436519141861936e-06,"broccoli",8277,True,0.01737864688038826,0.17254988849163055,0.0006978762685321271,0.6322459578514099,0.0008256559376604855,0.8044901490211487,0.0007943621603772044,0.19550974667072296,3,0.644444465637207,3,"small"
