experiment,fARI,mBO,rFID,writer21_named_iou,writer24_named_iou,writer27_named_iou,writer27_oracle_iou,writer27_oracle_gain,writer21_24_fg_consistency,writer24_27_fg_consistency,causal_diagonal_mean,causal_other_mean,causal_background_mean,causal_diagonal_share_mean,causal_diagonal_share_median,causal_selected_dominant_fraction,causal_global_diag_over_other,causal_global_diag_over_background,appearance_direct_self_r2,appearance_direct_nonself_r2,appearance_direct_unique_self_delta_r2,appearance_routed_self_r2,appearance_routed_nonself_r2,appearance_routed_all_r2,appearance_routed_unique_self_delta_r2,reader_mass_self,reader_mass_other,reader_mass_register
A,0.6130657392432134,0.5368392755372753,18.994483947753906,0.44204519345476,0.43519969593035057,0.4512209717834139,0.46930747676037754,0.018086504976963624,0.8466573874466121,0.8993058744817972,0.029131924520785904,0.003384030784160405,0.006197729714906941,0.6434867813639236,0.6977137223575995,0.7063353167658383,8.60864642755124,4.7004186792329845,0.136182878921553,0.05155331386486439,0.08446084342730154,0.11012158808344141,0.0812549710759276,0.14480681166858456,0.06355184059265695,0.43071596732490064,0.3463876266335876,0.22289641406873206
C,0.43855726402980477,0.33849664926573686,19.517133712768555,0.30339936154723546,0.2897064154029749,0.3083494269139919,0.3184014621710958,0.010052035257103853,0.5721452781435801,0.6346701401344035,0.029932710029831576,0.0033896687390555643,0.006275932400097029,0.6477546055062655,0.7050953672803861,0.7094854742737137,8.830570871114519,4.769444302709315,0.15566619774481116,0.05459991518751939,0.08864584521093832,0.12386513943848054,0.09189543584368964,0.16196627910012695,0.07007084325643731,0.4250224258980763,0.31409842160744966,0.260879161172668
D,0.13417848588666192,0.148694037582224,21.56604766845703,0.08156281994467918,0.0873717431063028,0.09611214020540615,0.15251293238861763,0.05640079218321148,0.42157583229709417,0.5907276402431307,0.005291933916840598,0.00524265850771428,0.0052476866052309145,0.305237540284328,0.2736431292668522,0.18060903045152257,1.0093989354930941,1.0084317747873086,0.07028218281836796,0.06519368635502276,0.00021253298541001886,0.028395115231202306,0.09078172892681868,0.09323759054964653,0.0024558616228278485,0.13637373030666183,0.6278141068504819,0.2358121744265653
