bg_miss_frac,fARI,foreground_pixels,image_id,mBO,mIoU,map_ambiguous_patch_frac,map_kind,map_pair_overlap_mean,map_top1_top2_margin_mean,merge_frac,n_gt,n_objects_caption,n_pred_on_fg,object_dominant_frac_mean,sample_index,split_frac,valid_object_count
0.018189287932661974,0.0,204461,285,0.9669606685638428,0.9276270866394043,0.0,"llm_attention",nan,inf,0.0,1,1,1,0.981810712067338,0,0.018189287932661974,1
0.0036614389455055835,0.9428271055221558,16387,4765,0.5182560682296753,0.6602449417114258,0.014705882407724857,"llm_attention",0.048354826867580414,0.02793780528008938,0.011392172475041342,2,2,2,0.9891380393528522,1,0.015011899676572894,2
0.10281804622826884,0.435327410697937,126719,7386,0.3483666777610779,0.37653815746307373,0.03651115670800209,"llm_attention",0.08586376905441284,0.005322118755429983,0.07322543759345589,5,3,3,0.7719162541564791,2,0.15201351020762474,3
0.013332437787554153,0.31560686230659485,178662,8277,0.3225330412387848,0.32510632276535034,0.10559796541929245,"llm_attention",0.2343599498271942,0.004086802713572979,0.16340481052870434,3,8,8,0.7525376273495309,3,0.1262215804144138,8
0.025147869741111127,0.484129399061203,149794,9400,0.1889294683933258,0.14756321907043457,0.22368420660495758,"llm_attention",0.1673661321401596,0.015214601531624794,0.45377224759804696,18,10,10,0.7939678725602821,4,0.17235002737092273,10
0.009390933229080129,0.3645685613155365,122778,10707,0.17747347056865692,0.18734407424926758,0.07886435091495514,"llm_attention",0.1594686508178711,0.01715308614075184,0.42090030832476877,14,12,12,0.7037559005401467,5,0.2717017706755282,12
0.07522268156861722,0.5453001856803894,76679,11760,0.6208608746528625,0.7001919746398926,0.14193548262119293,"llm_attention",0.334960401058197,0.00509234331548214,0.1644032660659136,3,3,3,0.7633454459118517,6,0.22725909310241396,3
0.019538113965358546,0.12882979214191437,47804,13201,0.42182719707489014,0.5856997966766357,0.0,"llm_attention",nan,inf,0.033582248773202476,2,1,1,0.9320978947796144,7,0.019538113965358546,1
0.06884286461377549,0.03194727003574371,260056,14831,0.47978460788726807,0.2983922064304352,0.0,"llm_attention",nan,inf,0.340086639438702,2,1,1,0.9225949929356849,8,0.06884286461377549,1
0.003960096735187425,0.0,66160,15746,0.8474537134170532,0.8935046195983887,0.0,"llm_attention",nan,inf,0.0,1,1,1,0.9960399032648126,9,0.003960096735187425,1
0.007570375632714679,0.9030442237854004,45044,17029,0.4585941433906555,0.5319615006446838,0.00561797758564353,"llm_attention",0.0640348345041275,0.014937395229935646,0.04303961702793996,4,3,3,0.9481054778348217,10,0.04120415593641773,3
0.19822194218622735,0.0,130142,17714,0.6545456051826477,0.5501703023910522,0.0714285746216774,"llm_attention",0.21445894241333008,0.030990485101938248,0.0,1,4,4,0.6789737363802616,11,0.32102626361973846,4
