image_id,dataset_idx,object_idx,layer,distance_bin,patch_count,cosine_distance,relative_l2
139,0,5,0,inside,24,0.03215768560767174,0.24725590646266937
139,0,5,0,ring_1,16,7.450580596923828e-09,0.0
139,0,5,0,near_2_4,56,-1.3836792156496358e-08,0.0
139,0,5,0,mid_5_8,122,2.9313760308014025e-09,0.0
139,0,5,0,far_gt8,806,5.250533341438768e-09,0.0
139,0,5,1,inside,24,0.044811200350522995,0.2850549519062042
139,0,5,1,ring_1,16,3.8370490074157715e-05,0.008601806126534939
139,0,5,1,near_2_4,56,2.9230755899334326e-05,0.007335260510444641
139,0,5,1,mid_5_8,122,2.9780336262774654e-05,0.00729435496032238
139,0,5,1,far_gt8,806,2.1600175386993214e-05,0.006240873131901026
139,0,5,2,inside,24,0.12985976040363312,0.4935319721698761
139,0,5,2,ring_1,16,0.0011957921087741852,0.04369970038533211
139,0,5,2,near_2_4,56,0.00024241741630248725,0.02087477222084999
139,0,5,2,mid_5_8,122,0.00012201754725538194,0.014578020200133324
139,0,5,2,far_gt8,806,4.306302434997633e-05,0.009017211385071278
139,0,5,3,inside,24,0.21659402549266815,0.644707202911377
139,0,5,3,ring_1,16,0.02057613432407379,0.16650104522705078
139,0,5,3,near_2_4,56,0.0010303929448127747,0.041095443069934845
139,0,5,3,mid_5_8,122,0.00040565847302787006,0.024309754371643066
139,0,5,3,far_gt8,806,7.385081698885188e-05,0.011466044932603836
139,0,5,4,inside,24,0.3072489798069,0.7714061141014099
139,0,5,4,ring_1,16,0.02249736338853836,0.17751392722129822
139,0,5,4,near_2_4,56,0.002108273794874549,0.05730670690536499
139,0,5,4,mid_5_8,122,0.0006601507775485516,0.030727632343769073
139,0,5,4,far_gt8,806,0.00011060469842050225,0.013640199787914753
139,0,5,5,inside,24,0.3130926787853241,0.7809253334999084
139,0,5,5,ring_1,16,0.029164496809244156,0.20084337890148163
139,0,5,5,near_2_4,56,0.0026402759831398726,0.06487088650465012
139,0,5,5,mid_5_8,122,0.0009020860306918621,0.03702133148908615
139,0,5,5,far_gt8,806,0.00014175743854139,0.015325414948165417
139,0,5,6,inside,24,0.4204358160495758,0.9034662246704102
139,0,5,6,ring_1,16,0.04730444401502609,0.25367727875709534
139,0,5,6,near_2_4,56,0.003626640420407057,0.07587609440088272
