bg_miss_frac,fARI,foreground_pixels,image_id,mBO,mIoU,map_ambiguous_patch_frac,map_kind,map_pair_overlap_mean,map_top1_top2_margin_mean,merge_frac,n_gt,n_objects_caption,n_pred_on_fg,object_dominant_frac_mean,sample_index,split_frac,valid_object_count
0.0325772568123002,0.5932303071022034,6569,139,0.20783685147762299,0.2350110560655594,0.22764228284358978,"llm_attention",0.15829379856586456,0.043310631066560745,0.23241542092840284,16,16,16,0.7558887990389556,0,0.35302176891459885,16
0.07371117890948917,0.0,51132,285,0.9163957834243774,0.839312732219696,0.0,"llm_attention",nan,inf,0.0,1,1,1,0.9262888210905108,1,0.07371117890948917,1
0.0745902495041236,0.3577783405780792,19158,632,0.11235272139310837,0.131134033203125,0.16943521797657013,"llm_attention",0.3640671372413635,0.010385818779468536,0.15144678210840995,17,17,17,0.6877950164035542,2,0.33719594947280507,17
0.0513681592039801,0.2884286046028137,8040,724,0.22983895242214203,0.3483637273311615,0.07633587718009949,"llm_attention",0.1483631283044815,0.011660821735858917,0.045627376425855515,4,4,4,0.7573300752872281,3,0.17114427860696518,4
0.11107679302945575,0.12941472232341766,61516,776,0.25222447514533997,0.21620075404644012,0.20507614314556122,"llm_attention",0.18011081218719482,0.0027667521499097347,0.42384287621381417,4,4,4,0.489524084087553,4,0.5658365303335717,4
0.004773054755043227,0.17207911610603333,11104,785,0.32655030488967896,0.4950731694698334,0.06145251542329788,"llm_attention",0.06217934191226959,0.006575006991624832,0.09718577504298254,2,2,2,0.8414404563952969,5,0.2749459654178674,2
0.13906089664201549,0.36016857624053955,28261,802,0.570335865020752,0.641697108745575,0.09887640178203583,"llm_attention",0.11724413931369781,0.003951045218855143,0.14142452015946735,2,2,2,0.7553831815341456,6,0.2608187962209405,2
0.07346579073866367,0.31843841075897217,12482,872,0.3577737510204315,0.5015619993209839,0.12376237660646439,"llm_attention",0.09139156341552734,0.016408666968345642,0.19169909208819716,3,4,4,0.6624893457894456,7,0.3533087646210543,4
0.037298387096774195,0.3316166400909424,6944,885,0.1831885427236557,0.26545199751853943,0.19090908765792847,"llm_attention",0.18496616184711456,0.024115707725286484,0.2487658937920718,6,6,6,0.8564578486441818,8,0.3289170506912442,6
0.05255849475803652,0.20387011766433716,28806,1000,0.17959477007389069,0.21170756220817566,0.42918455600738525,"llm_attention",0.21318572759628296,0.007964939810335636,0.5719991206214275,15,16,16,0.49422417823774534,9,0.5983475664792057,16
0.008195121951219513,0.46621227264404297,5125,1268,0.28899553418159485,0.36687496304512024,0.12903225421905518,"llm_attention",0.1328577697277069,0.04993105307221413,0.2823135943340547,7,7,7,0.7541370432722474,10,0.3291707317073171,7
0.14640616138887363,0.014204316772520542,54663,1296,0.19695653021335602,0.24332822859287262,0.15063731372356415,"llm_attention",0.08893194049596786,0.003863888792693615,0.09033433347621089,3,4,4,0.6335388765210334,11,0.619431791156724,4
0.0015512998823151813,0.6502522230148315,18694,1353,0.2696705758571625,0.3193913996219635,0.21597632765769958,"llm_attention",0.2010074406862259,0.008363516069948673,0.3068309670506295,7,7,7,0.6175641260894121,12,0.30223601155450946,7
0.0030365470122546362,0.6686338782310486,18442,1425,0.42204737663269043,0.4952143430709839,0.10726643353700638,"llm_attention",0.07641292363405228,0.0061669982969760895,0.07935385619493092,2,2,2,0.9396402373569966,13,0.08214944149224596,2
0.0,0.9039067029953003,692,1490,0.0784241110086441,0.3443889319896698,0.06666667014360428,"llm_attention",0.11540007591247559,0.10557233542203903,0.024566473988439308,2,2,2,0.9797136038186158,14,0.024566473988439308,2
0.04300588501584427,0.763674795627594,19881,1503,0.4681631624698639,0.5148617029190063,0.07817589491605759,"llm_attention",0.11111392080783844,0.010880553163588047,0.07332071901608325,4,4,4,0.8987611280703669,15,0.11317338162064282,4
0.0020197486535008975,0.3074904680252075,8912,1532,0.2059168815612793,0.2813314199447632,0.1785714328289032,"llm_attention",0.24526791274547577,0.01802133210003376,0.3044749269170227,8,8,8,0.6718385246312264,16,0.4231373429084381,8
0.058004640371229696,0.11937680095434189,26722,1584,0.11208279430866241,0.15273751318454742,0.19168591499328613,"llm_attention",0.3355630934238434,0.007043816614896059,0.04254727474972191,8,14,14,0.6853599508165586,17,0.35517551081505877,14
0.11636510232635348,0.3935282528400421,42169,1675,0.5507223606109619,0.5127237439155579,0.06969697028398514,"llm_attention",0.06690843403339386,0.0028253186028450727,0.1296763458751543,2,2,2,0.8221273346104578,18,0.23095164694443784,2
0.0,1.0,213,1761,0.18618881702423096,0.5859682559967041,0.0,"llm_attention",nan,inf,0.0,1,1,1,1.0,19,0.0,1
