area_frac,category,image_id,is_thing,map_inside_mean,map_neutral_mass_frac,map_neutral_mean,map_other_region_mass_frac,map_other_region_mean,map_outside_mass_frac,map_outside_mean,map_self_mass_frac,object_index,own_gt_patch_win_frac,sample_index,size_bucket
0.7371673583984375,"bear",285,True,0.9744057655334473,0.04411037266254425,0.1261129230260849,0.0,0.0,0.04411037266254425,0.1261129230260849,0.9558895826339722,0,1.0,0,"large"
0.044269561767578125,"person",4765,True,0.7288675308227539,0.17834524810314178,0.007575296796858311,0.011410086415708065,0.02500840090215206,0.18975533545017242,0.00790671817958355,0.810244619846344,0,1.0,1,"medium"
0.018169403076171875,"surfboard",4765,True,0.5731912851333618,0.10255339741706848,0.0012719666119664907,0.0018445622408762574,0.0004845217627007514,0.1043979674577713,0.0012364618014544249,0.8956019878387451,1,0.9462523460388184,1,"small"
0.374542236328125,"motorcycle",7386,True,0.8067439198493958,0.02114942856132984,0.02481888234615326,0.0561014786362648,0.052790652960538864,0.07627690583467484,0.03989236056804657,0.9237232208251953,0,0.9340829253196716,2,"large"
0.142059326171875,"tree-merged",7386,False,0.8593209385871887,0.15121041238307953,0.08894190937280655,0.10617581009864807,0.03003906086087227,0.2554578483104706,0.04882000386714935,0.7445422410964966,1,0.8831363916397095,2,"large"
0.12310791015625,"grass-merged",7386,False,0.8783846497535706,0.013891625218093395,0.008642139844596386,0.37255504727363586,0.1075708419084549,0.37642115354537964,0.074440136551857,0.6235789060592651,2,0.8346554040908813,2,"large"
0.0501708984375,"gravel",7386,False,0.7230643630027771,0.046378448605537415,0.01781775802373886,0.6327254176139832,0.1006120890378952,0.6612487435340881,0.07455337792634964,0.3387512266635895,3,0.610097348690033,2,"medium"
0.02001953125,"truck",7386,True,0.8936272859573364,0.20848558843135834,0.030919495970010757,0.3692096173763275,0.021750831976532936,0.5672441720962524,0.023928752169013023,0.43275579810142517,4,0.9512194991111755,2,"small"
0.009033203125,"sky-other-merged",7386,False,0.7208675742149353,0.09956980496644974,0.003936117980629206,0.30959993600845337,0.004788393620401621,0.40905681252479553,0.004548582248389721,0.5909431576728821,5,0.6486486196517944,2,"tiny"
0.005767822265625,"dog",7386,True,0.7264735102653503,0.00960527453571558,0.00016179065278265625,0.09959910809993744,0.0006535131251439452,0.10756433010101318,0.0005079666734673083,0.8924356698989868,6,0.8465608358383179,2,"tiny"
0.508453369140625,"bowl",8277,True,0.7814919948577881,0.027888771146535873,0.05356297269463539,0.10222163051366806,0.182829812169075,0.12946689128875732,0.12022212147712708,0.8705331087112427,0,0.9653457403182983,3,"large"
0.17689132690429688,"bowl",8277,True,0.9337584972381592,0.11721014231443405,0.11969873309135437,0.20837539434432983,0.0861349105834961,0.31944748759269714,0.09419367462396622,0.6805525422096252,1,0.9639645218849182,3,"large"
0.029693603515625,"fork",8277,True,0.7278295755386353,0.01466312911361456,0.001735169906169176,0.22992165386676788,0.008810783736407757,0.23153848946094513,0.006710961926728487,0.7684615254402161,2,0.807682454586029,3,"small"
0.012165069580078125,"broccoli",8277,True,0.41532281041145325,0.24767498672008514,0.01285402849316597,0.3454861640930176,0.005677036475390196,0.5903734564781189,0.007371479645371437,0.40962663292884827,3,0.48165568709373474,3,"small"
0.010776519775390625,"broccoli",8277,True,0.725330114364624,0.13715733587741852,0.014460648410022259,0.5522350668907166,0.018410347402095795,0.6880460977554321,0.017427975311875343,0.31195390224456787,4,0.7281416058540344,3,"small"
0.0125732421875,"broccoli",8277,True,0.3058077096939087,0.003271648660302162,6.226503319339827e-05,0.14665396511554718,0.0008846360724419355,0.14991377294063568,0.0006867036572657526,0.8500862717628479,5,0.3106796145439148,3,"small"
0.00653076171875,"broccoli",8277,True,0.05679312348365784,0.3359554708003998,0.0018564314814284444,0.39112964272499084,0.000679336953908205,0.7175723314285278,0.0009485572809353471,0.28242769837379456,6,0.0,3,"tiny"
0.0078125,"broccoli",8277,True,0.0002723254729062319,0.07399280369281769,0.00011256298603257164,0.9201226234436035,0.0004408912791404873,0.99411541223526,0.00036224653013050556,0.005884602200239897,7,0.0,3,"tiny"
0.12060546875,"wall-other-merged",9400,False,0.9300748705863953,0.21996743977069855,0.05725296959280968,0.17919990420341492,0.20637691020965576,0.39916738867759705,0.08474279195070267,0.6008325815200806,0,0.9838056564331055,4,"large"
