image_id,variant,foreground_mse,background_mse,foreground_psnr,background_psnr
285,R0_unrestricted,0.14005431532859802,0.06718628108501434,8.53703498840332,11.727193832397461
285,R1_post_siglip_all,0.1330612599849701,0.06632104516029358,8.759483337402344,11.783486366271973
285,R1_post_siglip_register_only,0.12181656062602997,0.07419652491807938,9.142936706542969,11.296165466308594
285,pre_siglip_masked_register_only,0.12554369866847992,0.045256342738866806,9.012051582336426,13.443206787109375
285,RAE_self_only,0.14858749508857727,0.11383730173110962,8.28017807006836,9.437154769897461
285,hybrid_original_OVT_masked_register,0.12569420039653778,0.048456739634275436,9.006847381591797,13.146458625793457
92839,R0_unrestricted,0.06321736425161362,0.08324363827705383,11.991636276245117,10.796489715576172
92839,R1_post_siglip_all,0.0871938169002533,0.10689659416675568,10.595144271850586,9.71036148071289
92839,R1_post_siglip_register_only,0.09103094786405563,0.11057249456644058,10.408109664916992,9.563529014587402
92839,pre_siglip_masked_register_only,0.06110468879342079,0.11083056777715683,12.139254570007324,9.553404808044434
92839,RAE_self_only,0.10908662527799606,0.1911710947751999,9.622284889221191,7.1857781410217285
92839,hybrid_original_OVT_masked_register,0.058412227779626846,0.11166996508836746,12.334961891174316,9.520636558532715
22192,R0_unrestricted,0.12119383364915848,0.09864978492259979,9.16519546508789,10.059040069580078
22192,R1_post_siglip_all,0.020181462168693542,0.08883332461118698,16.95047378540039,10.514240264892578
22192,R1_post_siglip_register_only,0.02168142795562744,0.09155582636594772,16.639122009277344,10.383140563964844
22192,pre_siglip_masked_register_only,0.026474004611372948,0.09359860420227051,15.771803855895996,10.28730583190918
22192,RAE_self_only,0.19217383861541748,0.08186256885528564,7.163057804107666,10.869146347045898
22192,hybrid_original_OVT_masked_register,0.05890669301152229,0.10786594450473785,12.298354148864746,9.67115592956543
