image_id,variant,foreground_mse,background_mse,foreground_psnr,background_psnr
5060,R0_unrestricted,0.09070631861686707,0.09680715948343277,10.423625946044922,10.140925407409668
5060,R1_post_siglip_all,0.08284973353147507,0.10187146812677383,10.817089080810547,9.919473648071289
5060,R1_post_siglip_register_only,0.08345168083906174,0.10248295962810516,10.785650253295898,9.89348316192627
5060,pre_siglip_masked_register_only,0.13024763762950897,0.08474332839250565,8.852301597595215,10.718945503234863
5060,RAE_self_only,0.05055263265967369,0.09481918811798096,12.962562561035156,10.231038093566895
5060,hybrid_original_OVT_masked_register,0.13323068618774414,0.08494217693805695,8.753957748413086,10.708765983581543
7784,R0_unrestricted,0.13187815248966217,0.028094928711652756,8.798271179199219,15.513720512390137
7784,R1_post_siglip_all,0.1535024791955948,0.02987918257713318,8.138846397399902,15.246313095092773
7784,R1_post_siglip_register_only,0.1272282898426056,0.025082841515541077,8.954163551330566,16.00623321533203
7784,pre_siglip_masked_register_only,0.145333394408226,0.030567172914743423,8.376346588134766,15.14744758605957
7784,RAE_self_only,0.19281265139579773,0.11824217438697815,7.148644924163818,9.272275924682617
7784,hybrid_original_OVT_masked_register,0.1388566941022873,0.03111988678574562,8.574332237243652,15.069620132446289
12667,R0_unrestricted,0.07324479520320892,0.09268318116664886,11.352232933044434,10.32999038696289
12667,R1_post_siglip_all,0.09731829166412354,0.0818096473813057,10.11805534362793,10.871954917907715
12667,R1_post_siglip_register_only,0.13784414529800415,0.09287597239017487,8.606117248535156,10.320966720581055
12667,pre_siglip_masked_register_only,0.10502029210329056,0.124167300760746,9.78726863861084,9.059926986694336
12667,RAE_self_only,0.0722692534327507,0.14779692888259888,11.410465240478516,8.303345680236816
12667,hybrid_original_OVT_masked_register,0.07584045082330704,0.09868431836366653,11.2009916305542,10.057518005371094
14380,R0_unrestricted,0.18340492248535156,0.060540828853845596,7.365890026092529,12.17951774597168
14380,R1_post_siglip_all,0.18274156749248505,0.05932558327913284,7.381627082824707,12.267580032348633
14380,R1_post_siglip_register_only,0.15905380249023438,0.05696060508489609,7.984559535980225,12.444253921508789
14380,pre_siglip_masked_register_only,0.11645038425922394,0.05342107638716698,9.338590621948242,12.72287368774414
14380,RAE_self_only,0.030739331617951393,0.1492384523153305,15.123056411743164,8.261192321777344
14380,hybrid_original_OVT_masked_register,0.1309269368648529,0.054952021688222885,8.829710006713867,12.600163459777832
15746,R0_unrestricted,0.0962628424167633,0.08646546304225922,10.165413856506348,10.631572723388672
15746,R1_post_siglip_all,0.1089508980512619,0.09027907252311707,9.627691268920898,10.444128036499023
15746,R1_post_siglip_register_only,0.11297641694545746,0.08765970170497894,9.470121383666992,10.572000503540039
15746,pre_siglip_masked_register_only,0.07497504353523254,0.08651363849639893,11.250833511352539,10.629154205322266
15746,RAE_self_only,0.05927540734410286,0.09826093912124634,12.271255493164062,10.076190948486328
15746,hybrid_original_OVT_masked_register,0.06654372811317444,0.08327982574701309,11.768930435180664,10.794602394104004
18737,R0_unrestricted,0.13183608651161194,0.10010604560375214,8.799657821655273,9.995396614074707
18737,R1_post_siglip_all,0.16304448246955872,0.08808091282844543,7.876938819885254,10.55118179321289
18737,R1_post_siglip_register_only,0.18070295453071594,0.07752983272075653,7.430347919464111,11.10531234741211
18737,pre_siglip_masked_register_only,0.14121177792549133,0.06417057663202286,8.501290321350098,11.926641464233398
