setting,cluster_mode,requested_object_codes,requested_background_codes,num_samples,rFID,recon_psnr,recon_ssim,recon_mse,recon_mae,latent_mse_fg,latent_mse_bg,mean_object_regions,mean_object_codes,mean_background_codes,mean_total_codes,mean_foreground_fraction
exact_gt,exact,256,0,4720,4.695035934448242,22.2776147129172,0.6737705693785417,0.007351671031327727,0.054084402692535796,0.0,0.0,0.0,0.0,0.0,256.0,0.0
coordinate_obj4_bg16,coordinate,4,16,4720,166.13131713867188,9.189309571506614,0.32536011427439654,0.13624029136440416,0.3110713939079857,0.38407695195621566,0.5503770129193063,3.716949152542373,11.988983050847457,15.771610169491526,27.760593220338983,0.3168647378177966
kmeans_obj4_bg16,kmeans,4,16,4720,119.63670349121094,8.521625248658456,0.33759968935006884,0.15075262851156768,0.33358401810529376,0.297288318084206,0.3292181203871351,3.716949152542373,11.988983050847457,15.771610169491526,27.760593220338983,0.3168647378177966
