area_frac,bg_map_on_self_mean,category,image_id,is_thing,map_inside_mean,map_neutral_mass_frac,map_neutral_mean,map_other_region_mass_frac,map_other_region_mean,map_outside_mass_frac,map_outside_mean,map_self_mass_frac,object_index,own_gt_patch_win_frac,sample_index,size_bucket
0.01513671875,0.003368927398696542,"person",139,True,0.06451595574617386,3.8937295698815433e-07,4.357839367141736e-10,2.391763246123446e-06,2.0752827012415764e-08,2.781136117846472e-06,2.757695627408907e-09,0.9999972581863403,0,0.6612903475761414,0,"small"
0.019775390625,0.0010586271528154612,"chair",139,True,0.014714078046381474,0.04816315695643425,5.39039247087203e-05,0.653876781463623,0.005930854938924313,0.702039897441864,0.0006994170835241675,0.2979600727558136,1,0.2469135820865631,0,"small"
0.013671875,0.0009216816397383809,"refrigerator",139,True,0.05710465833544731,0.009674569591879845,1.0827722690009978e-05,0.19086022675037384,0.0016382854664698243,0.20053480565547943,0.0001985493436222896,0.7994651198387146,2,0.0714285746216774,0,"small"
0.00244140625,0.0011544367298483849,"vase",139,True,0.31928643584251404,0.00357276713475585,3.998620286438381e-06,0.19821113348007202,0.0015485244803130627,0.2017839252948761,0.00019753687956836075,0.7982161045074463,3,0.4000000059604645,0,"tiny"
0.0205078125,0.0010655634105205536,"dining table",139,True,0.046088941395282745,0.0007776948623359203,8.703914318175521e-07,0.031354498118162155,0.00028634240152314305,0.03213219344615936,3.20360813930165e-05,0.967867910861969,4,0.1428571492433548,0,"small"
0.02197265625,0.0015689001884311438,"tv",139,True,0.0009925042977556586,0.006058264523744583,6.780374405934708e-06,0.9716104865074158,0.008996393531560898,0.9776686429977417,0.0009762043482623994,0.022331347689032555,5,0.9555555582046509,0,"small"
0.0078125,0.0015184126095846295,"chair",139,True,0.051517974585294724,0.001228031818754971,1.3744058833253803e-06,0.586628258228302,0.0047888015396893024,0.5878562927246094,0.0005785986431874335,0.4121438264846802,6,0.0,0,"tiny"
0.00732421875,0.0011914157075807452,"chair",139,True,0.02270440384745598,0.2185777723789215,0.00024463096633553505,0.6111392378807068,0.004958533216267824,0.8297169804573059,0.0008162488811649382,0.17028303444385529,7,0.0,0,"tiny"
0.006591796875,0.0025068698450922966,"chair",139,True,0.005460147280246019,0.23008158802986145,0.0002575059770606458,0.7330629229545593,0.005911797750741243,0.963144063949585,0.0009468115749768913,0.036855995655059814,8,0.14814814925193787,0,"tiny"
0.006103515625,0.0017299051396548748,"dining table",139,True,0.010491792112588882,0.0012570414692163467,1.4068735936234589e-06,0.9331713914871216,0.00749535346403718,0.9344261884689331,0.0009181295172311366,0.06557369232177734,9,0.1599999964237213,0,"tiny"
