area_frac,category,image_id,is_thing,map_inside_mean,map_neutral_mass_frac,map_neutral_mean,map_other_region_mass_frac,map_other_region_mean,map_outside_mass_frac,map_outside_mean,map_self_mass_frac,object_index,own_gt_patch_win_frac,sample_index,size_bucket
0.788330078125,"bear",285,True,0.9999997019767761,0.2116672247648239,0.999983549118042,0.0,0.0,0.2116672247648239,0.999983549118042,0.7883328199386597,0,1.0,0,"large"
0.044189453125,"person",4765,True,0.9999988079071045,0.9374926090240479,0.9998710751533508,0.018312674015760422,0.9999951124191284,0.955805242061615,0.9998733997344971,0.04419475048780441,0,0.9337016344070435,1,"medium"
0.018310546875,"surfboard",4765,True,0.9999985694885254,0.9374926090240479,0.9998586773872375,0.04419439658522606,0.9999784231185913,0.9816870093345642,0.9998640418052673,0.018312964588403702,1,0.9466666579246521,1,"small"
0.444091796875,"motorcycle",7386,True,0.999962568283081,0.5236411094665527,0.999793529510498,0.03368820995092392,0.9997760653495789,0.5558674931526184,0.9997977614402771,0.4441324770450592,0,0.912039577960968,2,"large"
0.02783203125,"truck",7386,True,0.9999984502792358,0.5237023234367371,0.9997598528862,0.4489462375640869,0.999657154083252,0.972160279750824,0.9997124671936035,0.027839774265885353,1,0.9122806787490845,2,"small"
0.005859375,"dog",7386,True,0.9999306201934814,0.5312218070030212,0.9923071265220642,0.46378669142723083,0.9623510241508484,0.9940106272697449,0.9780943989753723,0.005989403929561377,2,0.9166666865348816,2,"tiny"
0.508544921875,"bowl",8277,True,1.0,0.24145503342151642,0.9999997019767761,0.2517089247703552,0.9999996423721313,0.49145498871803284,0.9999997019767761,0.5085449814796448,0,0.7849255800247192,3,"large"
0.17724609375,"bowl",8277,True,0.9999998211860657,0.24145445227622986,0.9999942779541016,0.5849609971046448,0.9999969601631165,0.8227534294128418,0.9999962449073792,0.17724663019180298,1,0.85537189245224,3,"large"
0.028076171875,"fork",8277,True,0.9999984502792358,0.24130290746688843,0.999095618724823,0.7325668931007385,0.9999236464500427,0.971916139125824,0.9997177720069885,0.028083832934498787,2,0.48695650696754456,3,"small"
0.010986328125,"broccoli",8277,True,1.0,0.24129128456115723,0.9987702965736389,0.7479605078697205,0.9996591806411743,0.9890075922012329,0.9994421601295471,0.010992392897605896,3,0.35555556416511536,3,"small"
0.011962890625,"broccoli",8277,True,0.9999982118606567,0.24127693474292755,0.9985536336898804,0.7469959855079651,0.999518096446991,0.9880286455154419,0.9992823004722595,0.011971358209848404,4,0.3265306055545807,3,"small"
0.01171875,"broccoli",8277,True,1.0,0.24123749136924744,0.9983828663825989,0.7475239634513855,0.9995635747909546,0.9882728457450867,0.9992748498916626,0.01172715425491333,5,0.0,3,"small"
0.007568359375,"broccoli",8277,True,0.9999998807907104,0.2413766235113144,0.9993505477905273,0.7510525584220886,0.9997764825820923,0.9924291968345642,0.9996728301048279,0.007570816203951836,6,0.0,3,"tiny"
