probe,r2,cosine,rel_l2,lambda
P0_mean_floor,0.0,0.6227451143504178,0.7766850429196733,
P1_ovt_text_stream,0.410352407680474,0.8047879303475587,0.5815469103164501,10000.0
P2_llm_image_stream,0.46599048569103385,0.8241139022150257,0.5554866724309365,1000.0
