wandb: Detected [huggingface_hub.inference] in use.
wandb: Use W&B Weave for improved LLM call tracing. Install Weave with `pip install weave` then add `import weave` to the top of your script.
wandb: For more information, check out the docs at: https://weave-docs.wandb.ai/
  0%|          | 0/100000 [00:00<?, ?it/s]Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                       
{'loss': 9016.0, 'learning_rate': 4.2e-08, 'loss_full': 9728.0, 'loss_slot_feat': 0.00255584716796875, 'loss_slot_attn': 0.03497314453125, 'loss_stop': -0.859375, 'loss_div': 0.0, 'loss_inpaint': 63104.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 6452.0, 'learning_rate': 4.4000000000000004e-08, 'loss_full': 6444.0, 'loss_slot_feat': 0.0026702880859375, 'loss_slot_attn': 1.2265625, 'loss_stop': -0.8515625, 'loss_div': 0.0, 'loss_inpaint': 76288.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 45952.0, 'learning_rate': 4.6e-08, 'loss_full': 46976.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.955078125, 'loss_stop': -0.859375, 'loss_div': 0.0, 'loss_inpaint': 117008.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 49128.0, 'learning_rate': 4.8e-08, 'loss_full': 46928.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.24462890625, 'loss_stop': -0.8515625, 'loss_div': 0.0, 'loss_inpaint': 62000.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 32445.0, 'learning_rate': 5.0000000000000004e-08, 'loss_full': 31466.0, 'loss_slot_feat': 0.00263214111328125, 'loss_slot_attn': 0.48974609375, 'loss_stop': -0.873046875, 'loss_div': 0.0, 'loss_inpaint': 4576.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 24400.0, 'learning_rate': 5.2e-08, 'loss_full': 25216.0, 'loss_slot_feat': 0.00261688232421875, 'loss_slot_attn': 0.199951171875, 'loss_stop': -0.888671875, 'loss_div': 0.0, 'loss_inpaint': 50256.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 19662.75, 'learning_rate': 5.400000000000001e-08, 'loss_full': 28722.0, 'loss_slot_feat': 0.00266265869140625, 'loss_slot_attn': 0.185791015625, 'loss_stop': -0.875, 'loss_div': 0.0, 'loss_inpaint': 144384.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 42340.5, 'learning_rate': 5.6000000000000005e-08, 'loss_full': 42450.0, 'loss_slot_feat': 0.0027313232421875, 'loss_slot_attn': 0.169677734375, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 18664.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 14295.0, 'learning_rate': 5.8e-08, 'loss_full': 15584.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 0.0762939453125, 'loss_stop': -0.8984375, 'loss_div': 0.0, 'loss_inpaint': 20604.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 155520.0, 'learning_rate': 6.000000000000001e-08, 'loss_full': 154368.0, 'loss_slot_feat': 0.00257110595703125, 'loss_slot_attn': 0.4183349609375, 'loss_stop': -0.890625, 'loss_div': 0.0, 'loss_inpaint': 151552.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 7592.0, 'learning_rate': 6.2e-08, 'loss_full': 7488.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 0.1163330078125, 'loss_stop': -0.90234375, 'loss_div': 0.0, 'loss_inpaint': 34848.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 12944.0, 'learning_rate': 6.4e-08, 'loss_full': 12928.0, 'loss_slot_feat': 0.00258636474609375, 'loss_slot_attn': 0.81640625, 'loss_stop': -0.798828125, 'loss_div': 0.0, 'loss_inpaint': 52352.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 101888.0, 'learning_rate': 6.600000000000001e-08, 'loss_full': 99328.0, 'loss_slot_feat': 0.002655029296875, 'loss_slot_attn': 0.13818359375, 'loss_stop': -0.87890625, 'loss_div': 0.0, 'loss_inpaint': 16008.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 16510.0, 'learning_rate': 6.8e-08, 'loss_full': 16200.0, 'loss_slot_feat': 0.0027618408203125, 'loss_slot_attn': 1.173828125, 'loss_stop': -0.857421875, 'loss_div': 0.0, 'loss_inpaint': 34272.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 12022.5, 'learning_rate': 7e-08, 'loss_full': 11141.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 0.29150390625, 'loss_stop': -0.85546875, 'loss_div': 0.0, 'loss_inpaint': 100029.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 64508.0, 'learning_rate': 7.200000000000001e-08, 'loss_full': 64752.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.56689453125, 'loss_stop': -0.87890625, 'loss_div': 0.0, 'loss_inpaint': 71744.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 10460.0, 'learning_rate': 7.400000000000001e-08, 'loss_full': 9512.0, 'loss_slot_feat': 0.0026092529296875, 'loss_slot_attn': 0.22998046875, 'loss_stop': -0.873046875, 'loss_div': 0.0, 'loss_inpaint': 28768.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 79680.0, 'learning_rate': 7.6e-08, 'loss_full': 77216.0, 'loss_slot_feat': 0.00258636474609375, 'loss_slot_attn': 0.32470703125, 'loss_stop': -0.88671875, 'loss_div': 0.0, 'loss_inpaint': 66080.5, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 61760.0, 'learning_rate': 7.8e-08, 'loss_full': 61376.0, 'loss_slot_feat': 0.0026397705078125, 'loss_slot_attn': 0.4599609375, 'loss_stop': -0.8984375, 'loss_div': 0.0, 'loss_inpaint': 6110.25, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 34624.0, 'learning_rate': 8e-08, 'loss_full': 33408.0, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.3157958984375, 'loss_stop': -0.89453125, 'loss_div': 0.0, 'loss_inpaint': 11136.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 88928.0, 'learning_rate': 8.200000000000002e-08, 'loss_full': 112064.0, 'loss_slot_feat': 0.00269317626953125, 'loss_slot_attn': 1.193359375, 'loss_stop': -0.748046875, 'loss_div': 0.0, 'loss_inpaint': 66112.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 107560.5, 'learning_rate': 8.4e-08, 'loss_full': 106536.5, 'loss_slot_feat': 0.00262451171875, 'loss_slot_attn': 0.18017578125, 'loss_stop': -0.87890625, 'loss_div': 0.0, 'loss_inpaint': 14200.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 13266.0, 'learning_rate': 8.6e-08, 'loss_full': 13392.0, 'loss_slot_feat': 0.0026702880859375, 'loss_slot_attn': 0.1494140625, 'loss_stop': -0.900390625, 'loss_div': 0.0, 'loss_inpaint': 10164.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 52288.0, 'learning_rate': 8.800000000000001e-08, 'loss_full': 52352.0, 'loss_slot_feat': 0.0026702880859375, 'loss_slot_attn': 0.215087890625, 'loss_stop': -0.904296875, 'loss_div': 0.0, 'loss_inpaint': 24704.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
{'loss': 66304.0, 'learning_rate': 9e-08, 'loss_full': 67072.0, 'loss_slot_feat': 0.00260162353515625, 'loss_slot_attn': 0.53515625, 'loss_stop': -0.896484375, 'loss_div': 0.0, 'loss_inpaint': 29712.0, 'inpaint_weight': 0.0, 'epoch': 0.0}
