image_id,variant,foreground_mse,background_mse,foreground_psnr,background_psnr
285,R0_unrestricted,0.12304069846868515,0.060002293437719345,9.099513053894043,12.21832275390625
285,R1_post_siglip_all,0.1274385303258896,0.04662628471851349,8.946991920471191,13.313693046569824
285,R1_post_siglip_register_only,0.13458511233329773,0.0535396970808506,8.710030555725098,12.713241577148438
285,pre_siglip_masked_register_only,0.12486081570386887,0.04222233593463898,9.035738945007324,13.744577407836914
285,RAE_self_only,0.1551073044538498,0.04396497830748558,8.093677520751953,13.568931579589844
285,hybrid_original_OVT_masked_register,0.1221708431839943,0.041870906949043274,9.130324363708496,13.780878067016602
92839,R0_unrestricted,0.08837068825960159,0.1813509613275528,10.536917686462402,7.414801597595215
92839,R1_post_siglip_all,0.0807548463344574,0.11141163110733032,10.928315162658691,9.530694961547852
92839,R1_post_siglip_register_only,0.08662568777799606,0.11026687920093536,10.623533248901367,9.575549125671387
92839,pre_siglip_masked_register_only,0.10291945934295654,0.1109960526227951,9.875024795532227,9.546924591064453
92839,RAE_self_only,0.11336517333984375,0.03740501403808594,9.45520305633545,14.27070140838623
92839,hybrid_original_OVT_masked_register,0.07187921553850174,0.1091039776802063,11.433967590332031,9.621593475341797
22192,R0_unrestricted,0.05269288271665573,0.07529396563768387,12.782480239868164,11.232398986816406
22192,R1_post_siglip_all,0.06128203123807907,0.07740263640880585,12.126668930053711,11.112442970275879
22192,R1_post_siglip_register_only,0.08046922087669373,0.08198937028646469,10.943702697753906,10.862424850463867
22192,pre_siglip_masked_register_only,0.10493483394384384,0.07299827039241791,9.790802955627441,11.366874694824219
22192,RAE_self_only,0.03563989698886871,0.14992906153202057,14.480636596679688,8.241142272949219
22192,hybrid_original_OVT_masked_register,0.08708614110946655,0.07208529859781265,10.600509643554688,11.421533584594727
