0, 0
1, 0
0, 0
1, 0
0, 0
1, 0
0, 0
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 4
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 626
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 2504
1, 0
0, 6282
1, 0
0, 11176
1, 0
0, 15784
1, 0
0, 19232
1, 0
0, 19232
1, 0
0, 24606
1, 0
0, 24616
1, 0
0, 27118
1, 0
0, 27118
1, 0
0, 27120
1, 0
0, 181898
1, 0
0, 181898
1, 0
0, 181898
1, 0
0, 181776
1, 0
0, 181510
1, 0
0, 181510
1, 0
0, 181510
1, 0
0, 4
1, 0
